courseno,title_short_en
001101,FUNDAMENTAL ENGLISH 1
001103,FOUNDATION ENGLISH I
001104,FOUNDATION ENGLISH II
001107,FOUNDATION ENGLISH
001111,ORAL COMMUNICATION 1
001112,ORAL COMMUNICATION 2
001113,READING SKILLS
001118,FUNDAMENTAL WRITING
001191,ENGL FOR SCI STUDENTS I
001192,ENGL FOR SCI STUDENTS II
001201,CRIT READ AND EFFEC WRITE
001202,ENGL IN PROF CONTEXTS
001203,ENGL FOR ACAD PURPOSE
001204,ENGL FOR HEALTH SCIENCE
001205,ENGL FOR SCIENCE & TECH
001206,ENGL FOR HUMAN & SOC SCI
001210,ORAL EXPRESSION 1
001211,ANALYT RDG & SUM WR
001212,LANG CONSOLID THRO TRANSLATE
001213,PRIN INTER TRANS
001218,ESSAY WRITING
001221,WRITTEN EXPRESSION I
001222,ENGLISH FOR FINE ARTS
001223,ENGL FOR HUMAN & MASSCOM
001224,ENGLISH FOR SOCIAL SCIENCES
001225,ENGL IN SCIENCE & TECH CONT
001226,ENGL IN HEALTH SCIENCES CONT
001227,ENGLISH FOR AGRI & AGRO IND
001228,ENGL FOR BUSINESS & ECON
001229,ENGLISH FOR MEDIA ARTS
001230,INTRODUCTION TO LANGUAGE
001231,ENGLISH PHONETICS
001232,PHONOLOGY
001234,INTRO TO ENGL PHONO & MORPHO
001235,ENGL SEMANTICS & PRAGMATICS
001250,INTRODUCTION TO LITERATURE
001281,ENGLISH LANGUAGE AND CULTURES
001282,ENGLISH AND GLOBALIZED CULTURE
001291,ENGL FOR HOSP SERV
001292,ENGLISH FOR HOTEL BUSINESS
001293,ENGLISH FOR TOURISM BUSINESS
001294,ENGLISH FOR AIRLINE BUSINESS
001295,ENGL FOR HOTEL & TOUR I
001296,ENGL FOR HOTEL & TOUR II
001297,ENGL FOR HOTEL & TOUR III
001298,ENGL FOR HOTEL & TOUR IV
001310,ORAL EXPRESSION 2
001311,READING AND WRITING 1
001312,READING AND WRITING II
001313,ACADEMIC SKILLS
001314,PRESENTATION SKILLS IN ENGLISH
001315,TRANS FOR COMM BREAKTHROUGH
001317,WRITTEN EXPRESSION III
001318,ACADEMIC WRITING
001320,ENGL & SCI & FUTURE TRENDS
001321,BRIT & AMER CULT STUDIES
001322,ENGL IN MULTIMODAL COMM
001323,ENGL IN BUSINESS COMM
001324,PUBLIC SPEAKING
001327,ENGLISH IN MULTICULTURES
001330,ENGLISH SYNTAX
001341,ENGLISH PROSODY IN CONTEXT
001342,LANGUAGE AND COMMUNITY
001352,RESERV LIT & REINTERPRET
001353,NARRATIVES IN PROSE
001354,POETRY
001355,DRAMA
001358,MYTHOLOGY AND FOLKLORE
001361,MYTHOLOGY AND FOLKLORE
001362,ENGL LIT FOR YOUNG PEOPLE
001373,FOUDTN OF LIT THORY & CRITSM
001381,READING MEDIA IN ENGLISH
001391,ENGL SUR PRES IN TOUR IND
001410,ORAL EXPRESSION III
001413,ENGL COM AND CREATIVE LANNA
001414,PUBLIC SPEAKING
001415,INTRODUCTION TO INTERPRETING
001416,TRANSLATION IN THE DIGITAL ERA
001418,RESEARCH METH IN ENGL & LIT
001419,ENGLISH IN BUSINESS
001420,TRANSLATION I
001421,VIEWS OF MODERN SOCIETY
001422,ENGLISH IN MASS MEDIA
001423,ENGL FOR PROF COMM
001424,ENGLISH FOR THE GLOBAL CITIZEN
001425,TRANSLATE FOR PROFESS PURPOSES
001426,LITERARY TRANSLATION
001427,READ & WRIT ABOUT ENT MEDIA
001428,WRIT & RES SKILLS IN ENGL
001429,SEL TOP IN ENGL SKILLS & COMM
001430,CONT ANALYSIS:PHON & MORP
001431,CONT ANALYS:SYNTAX
001432,TRANSFORMATIONAL SYNTAX
001433,MORPHOLOGICAL THEORY
001434,SYNTACTIC THEORY
001435,PHONOLOGICAL THEORY
001436,SUPRASEGMENTAL PHONOLOGY
001438,WRIT & RES SKILLS IN LING
001439,READINGS IN LINGUISTICS
001440,ENGL & OTHER WORLD LANG
001441,LANGUAGE CHANGE
001442,LANGUAGE AND GENDER
001443,INTRO TO SOCIOLINGUISTICS
001444,INTRO TO PSYCHOLINGUISTICS
001445,DISCOURSE IN COMMUNICATION
001446,INTRO TO COGNITIVE SEMANTICS
001447,SELECTED TOPICS IN LINGUISTICS
001448,INTRO TO CORPUS LING
001452,PSY ANALYSIS OF LIT
001458,LITERARY CRITICISM
001460,POETRY BEFORE 20TH CENT
001461,WORLD LITERATURE
001462,MODERN POETRY
001463,MAJOR WORKS IN BRITISH LIT
001464,MAJOR WORKS IN AMERICAN LIT
001465,DRAMA BEFORE THE 20TH CE
001466,MODERN DRAMA
001467,LITERATURE AND ADAPTATION
001468,FICTION BEFORE 20 TH CENT
001469,MODERN FICTION
001470,READINGS IN LITERATURE
001471,SHAKESPEARE & MODERN WORLD
001472,ISSUES IN CONTEMP LIT
001473,LITERARY CRITICISM IN ENGLISH
001474,SELECTED TOPICS IN ENGL LIT
001475,TEXTS ACROSS MEDIA
001476,MODERN TRADITION IN LIT
001478,WRIT & RES SKILLS IN ENGL LIT
001479,CLASSICS 19TH/C TO MODERN
001488,ENGLISH STUDY ABROAD
001489,INDEPENDENT STUDY
001498,COOPERATIVE EDUCATION
001503,ENGL FOR GRAD STUD IN SCI
001701,ORAL IMPRO AND PRES
001703,PUBLIC SPEAKING
001711,WRIT FOR EFFEC COMM
001713,PROPOSAL WRITING
001714,ARTICLE WRITING
001715,CREATIVE WRITING
001716,RESAEARCH METHODOLOGY
001721,PRIN AND PRAC OF TRANSL
001723,PRIN & PRAC OF TRANSL II
001731,COM AND LANG USE
001732,ENGL FOR INTER COMM
001733,STYLISTICS
001734,SEMANTICS AND PRAGMATICS
001735,MEDIA DISCOURS ANALYSIS
001771,CONT ISS BRIT & AMER LIT
001772,CONT ISSUE IN GLOB LIT
001773,LITERATURE IN THE MEDIA
001789,SEM GLOB IN THAI CONTEXT
001798,INDEPENDENT STUDY
001799,THESIS
002101,FRENCH 1
002102,FRENCH 2
002110,FRENCH PRONUNCIATION
002111,FRENCH CONVERSATION 1
002191,FRENCH FOR BEGINNERS I
002192,FRENCH FOR BEGINNERS II
002201,FRENCH 3
002202,FRENCH 4
002211,FRENCH CONVERSATION 2
002212,READING AND WRITING II
002221,READING & WRITING IN FR 1
002230,INTRO TO FR LING
002250,FRENCH LIFE AND CIVILIZATION
002260,INTRODUCTION TO FR LIT
002270,FR LIFE & INSTITUTIONS
002291,FR IN SC & TECH
002292,FR IN SOCIAL SCIENCES
002301,FRENCH 5
002302,FRENCH 6
002311,LISTENING & SPEAKING 1
002321,READING AND WRITING 2
002322,READING AND WRITING II
002331,FRENCH SYNTAX I
002332,FRENCH SYNTAX  II
002333,FRENCH PHONETICS
002334,FRENCH SYNTAX I
002349,RES METH TO FR STUDY
002351,CULTURE OF FR SPEAK COUNT
002353,FR HISTORY & CULTURE I
002354,FR HISTORY & CULTURE II
002361,READING FR LIT 17-18 CENT
002362,READING FR LIT 19-20 CENT
002363,FR CHILD & JUV LIT
002364,FRENCH LITERATURE III
002365,FR TALES & SHORT STORIES
002371,FRENCH FOR HOTEL
002372,FRENCH FOR OFFICE
002373,FRENCH FOR MASS COMMUNICATION
002401,FRENCH 7
002402,FRENCH 8
002403,FR CORRESPONDENCE
002404,FRENCH FOR TOURISM
002411,LISTENING & SPEAKING 2
002412,ADVANCED FR CONVERSATION
002420,TRANSL FOR INTMED LEVEL I
002426,TRANSL FOR ADV LEVEL II
002431,FRENCH SYNTAX 2
002434,LING ANALYSIS OF FR TEXTS
002435,FRENCH SYNTAX II
002441,TRANSLATION 1
002442,TRANSLATION II
002449,REPORT AND DISCUSSION I
002452,EVOLUTION OF FRENCH IDEAS
002457,FRENCH SPEAKING COUNTRIES
002458,SELEC TOP IN FR & FRANCO STUD
002465,FRENCH LITERATURE IV
002466,FRENCH NOVELS
002467,FR LIT AND ADAPTATION
002468,FRENCH DRAMA
002471,FRENCH FOR TOURISM
002472,FR FOR CORR & SEC WORK
002473,FRENCH FOR BUSINESS
002474,FRENCH AS A FOREIGN LANGUAGE
002475,INN MAT ONLINE FR TEACH&LEARN
002488,COOPERATIVE EDUCATION
002489,INDEPENDENT STUDY
003101,FUNDAMENTAL GERMAN 1
003102,FUNDAMENTAL GERMAN 2
003111,BASIC GERMAN GRAMMAR
003191,GERMAN FOR BEGINNERS I
003192,GERMAN FOR BEGINNERS II
003201,INTERMEDIATE GERMAN 1
003202,INTERMEDIATE GERMAN 2
003211,READING & COMPREHENSION I
003212,RDG & COMPREHENSION II
003213,GERMAN READING I
003214,ORAL EXPRESSION I
003215,ORAL EXPRESSION II
003216,GERMAN CONVERSATION
003260,INTRO TO INTPR OF LIT
003261,READING GERMAN LITERATURE 1
003270,GER: COUNTRY & PEOPLE I
003271,GERMAN CULTURE & SOCIETY
003291,GERMAN FOR BEGINNERS III
003292,GERMAN FOR BEGINNERS IV
003301,COMPRE & EXPRESSION I
003302,COMPRE & EXPRESSION II
003310,DISCUSSION AND SPEECH I
003313,GERMAN READING II
003314,GERMAN WRITING I
003320,GERMAN TRANSLATION I
003331,GERMAN SYNTAX
003332,GER PHONE PHONO & MORPHO
003333,GERMAN DRAMA
003335,GERMAN SYNTAX
003349,ACADEMIC REPORT WRITING
003360,GERMAN PROSE
003361,READING GERMAN LITERATURE 2
003367,DEVELOP OF GER LITERATURE
003370,GER: COUNTRY & PEOPLE II
003401,COMPRE & EXPRESSION III
003402,COMPRE & EXPRESSION IV
003404,GERMAN FOR TOURISM
003405,RES METH IN GER STUDIES
003410,DISCUSSION AND SPEECH II
003414,GERMAN WRITING II
003416,DISC & PUB SPEAK IN GER
003419,COMPRE ADV SCHOLARLY LIT
003420,TRANSLATION II
003421,GERMAN TRANSLATION II
003422,GERMAN TRANSLATION III
003423,GERMAN TRANSLATION IV
003431,GERMAN SEMAN & PRAGMATICS
003435,ESSAY WRITING
003436,COMP STUDY THAI & GER
003449,SEM:IND RDG CONTEMP LIT
003454,GERMAN FOR TOURISM 1
003455,GERMAN FOR BUSINESS
003456,GERMAN FOR TOURISM 2
003460,GERMAN POETRY
003461,GERMAN PROSE
003462,GERMAN POETRY
003463,GERMAN DRAMA
003464,GERMAN YOUTH LITERATURE
003471,GERMAN ARTS AND CULTURE
003472,CURRENT ISSUES IN GERMANY
003473,GER & GLOBALIZATION
003480,COOPERATIVE EDUCATION
003489,INDEPENDENT STUDY
003851,TOURISM EVENT OPERATIONS
004101,METHOD IN HIST RESEARCH
004170,THAI SOCIETY AND CULTURE
004171,A SURVEY OF THAI HISTORY
004202,GREEK & ROMAN CIV
004214,HISTORY OF THE WESTERN WORLD
004233,INDIAN CIVILIZATION
004235,CHINESE CIVILIZATION
004241,HISTORY OF THE EASTERN WORLD
004271,A SURVEY OF THAI HISTORY
004272,HIST OF THAI POL & ADMIN
004282,HIST OF LANNA & GMS
004301,ORGANIZING PAST HS
004302,READING: HISTORICAL SOURCES 2
004303,PHIL OF HIST & HISTOGRAPH
004304,ACADEMIC ENGL FOR HIST
004309,ADV METHOD IN HIST RESEARCH
004314,HISTORY OF EUROPE
004321,HISTORY OF LATIN AMERICA
004323,HIST OF WESTERN IDEAS I
004324,HIST OF WESTERN IDEAS II
004330,S.E.ASIA:PAST TO PRESENT
004331,HIST OF THE MIDDLE EAST
004332,HIST OF STATES&SOC IN SEA
004351,THEORETICAL APPROACH TO HIST
004352,HISTORY OF SCIENCE
004361,A REVIEW OF JAPAN
004372,HISTORY OF LANNA
004382,HIST OF LANNA & GMS
004390,SPECIFIC TOPICS IN HISTORY
004401,READING:HIST SOURCES I
004402,READING:HIST SOURCES II
004403,PERCEPTION OF THE PAST
004409,SEMINAR
004413,THE MODERN SCIENTIFIC REV
004415,HISTORY OF RUSSIA
004421,MODERN HIST OF LATIN AMERICA
004423,HISTORY OF WESTERN IDEAS
004427,HISTORY OF THE USA
004430,S.E.ASIA:PAST TO PRESENT
004432,HIST OF STATES&SOC IN SEA
004436,SEA&ITS FOREIGN RELATION
004441,HIST OF INTEL IN MOD ASIA
004443,HISTORY OF SOUTH ASIA
004451,HISTORY OF EMOTION
004453,INTELLECTUAL HIST IN THAI SOC
004454,NEW TREND IN HIST ANALYSIS
004455,HIST OF PSYCHO & PSYCHIATRY
004456,SELECTED TOPICS
004457,HISTORY OF TERRORISM
004458,LANNA HIST INFO MGMT
004459,THAI BUSINESS HISTORY
004461,INDUSTRIAL REV IN W&JAPAN
004462,A REVIEW OF JAPAN
004465,HISTORY OF MODERN CHINA
004466,HISTORY OF MODERN JAPAN
004467,HIST OF MID EAST & NORTH AFR
004470,ECONOMIC HISTORY OF THAILAND
004472,PROB IN LANNA THAI HIST
004473,HIST OF MO THAI POL & ADMIN
004474,HIST OF ETHNIC IN THAILAND
004475,BUDDHISM AND THAI SOCIETY
004476,SOCIAL HIS OF THAILAND
004477,ARCH & STU OF HIST IN THAILAND
004481,INDUS REV COMP
004483,WORLD HISTORY
004490,A SPECIAL TOPIC IN HIST
004499,SESSIONAL PAPER
004711,SOCIAL HISTORY OF EUROPE
